Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Review	Clinical Domain	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
446	NCT04252170	"Arm Motor Rehabilitation, Entertainment and Cognition System for the Elderly"		Completed	No Results Available	Stroke			"Device: Rehabilitation Therapy, Experimental on the BrightArm Compact device"	Artificial Intelligence-determined game difficulty level|Game Score (baseline and performance)|Participants' feedback using 5-point Likert scale|Therapist subjective evaluation using 5-point Likert scale|Arm Range of Motion|Finger Range of Motion|Grasp Strength with Jamar Dynamo-meter|Pinch strength with pinch meter|Shoulder strength|Fugl-Meyer Assessment (Upper Extremity sub-scale) score|Upper extremity functional index (UEFI) score|CAHAI 9 Score|Jebsen Test of Hand Function|Beck Depression Inventory II (BDI II) score|Verbal attention|Verbal fluency|Verbal memory|Brief Visuospatial Memory Test-Revised|Executive Function Module|Cognitive executive function|Visual attention	Bright Cloud International Corp|National Institute on Aging (NIA)|Genesis HealthCare System	All	"50 Years to 85 Years   (Adult, Older Adult)"	Not Applicable	2	Industry|NIH|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility	BCI-10-001|5R44AG044639-05	"September 15, 2018"	31-Dec-18	31-Jan-19	5-Feb-20		5-Feb-20	"PowerBack Rehabilitation, Piscataway, New Jersey, United States"	"Informed Consent Form, https://ClinicalTrials.gov/ProvidedDocs/70/NCT04252170/ICF_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/70/NCT04252170/Prot_001.pdf"	https://ClinicalTrials.gov/show/NCT04252170
447	NCT04005183	Renal Cell Carcinoma Microenvironment Discovery Project	REMEDY	Recruiting	No Results Available	Renal Cell Carcinoma				Molecular profiling of various cell populations within tumour by using single cell RNA-CITEseq.|Determination of the radiological and pathological features associated with the derived tumor microenvironment molecular data	"University Health Network, Toronto|Celsus Therapeutics PLC"	All	"18 Years and older   (Adult, Older Adult)"		300	Other|Industry	Observational	Observational Model: Other|Time Perspective: Prospective	17-5204	"May 6, 2019"	1-May-30	1-Jul-30	2-Jul-19		2-Jul-19	"University Health Network, Princess Margaret Hospital, Toronto, Ontario, Canada"		https://ClinicalTrials.gov/show/NCT04005183
448	NCT04086849	Analysis of Patterns of Recurrence in Head and Neck Cancer Using Clinicopathomic Markers		Recruiting	No Results Available	Head and Neck Neoplasm|Squamous Cell Carcinoma of Head and Neck			"Diagnostic Test: Radiomic, pathomic, and clinical markers"	Time to locoregional recurrence|Time to distant metastasis|Time to death	Sunnybrook Health Sciences Centre	All	"18 Years and older   (Adult, Older Adult)"		450	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	087-2019	"July 30, 2019"	30-Dec-24	30-Jun-25	12-Sep-19		13-Sep-19	"Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada"		https://ClinicalTrials.gov/show/NCT04086849
449	NCT03674255	Extracellular Vesicles At REst and STress	EVAREST	Enrolling by invitation	No Results Available	Coronary Artery Disease|Ischaemic Heart Disease|Angina Pectoris		Cardiovascular		Assessment of Prognostically Significant CAD|Examination of Medical Records|Quantification of Extracellular Vesicles (obtained from blood samples) by Flow Cytometry|Assessment of Time to Diagnosis|Analysis of Potential Cost Savings Through the Use of Novel Biomarkers By the Reduction in Unnecessary Procedures	"University of Oxford|Oxford University Hospitals NHS Trust|Royal United Hospital Bath NHS Trust|Tameside Hospital NHS Foundation Trust|Royal Berkshire NHS Foundation Trust|East Lancashire Hospitals NHS Trust|Bradford Teaching Hospitals NHS Foundation Trust|Calderdale and Huddersfield NHS Foundation Trust|Great Western Hospital NHS Foundation Trust|Mid Essex Hospital NHS Trust|Buckinghamshire Healthcare NHS Trust|Wrightington, Wigan and Leigh NHS Foundation Trust|Chelsea and Westminster Hospital NHS Foundation Trust|Milton Keynes University Hospital NHS Foundation Trust|University Hospitals Bristol NHS Foundation Trust|North Middlesex University Hospital|Northumbria Healthcare NHS Foundation Trust|London North West Healthcare NHS Trust|St George's University Hospitals NHS Foundation Trust|Ultromics Ltd|National Institute for Health Research, United Kingdom"	All	"18 Years and older   (Adult, Older Adult)"		5000	Other|Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	18100	"March 1, 2015"	19-Oct	21-Oct	17-Sep-18		17-Sep-18			https://ClinicalTrials.gov/show/NCT03674255
450	NCT04061434	ECG Algorithms for CRT Response Evaluation	OVERCOME	Recruiting	No Results Available	ECG Monitoring		Cardiovascular		Number of correctly assessed ECG signals by the automatic recognition of resynchronization in CRT-mediated therapy.|Correctly recognized ECG signals after adding each cycle of 20 new ECG recordings from patients with electrical heart function disturbances.|Number of registered ECG signals from patients holding a CIED.	Medical University of Warsaw|The National Centre for Research and Development	All	"18 Years to 100 Years   (Adult, Older Adult)"		500	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	OVERCOME	"March 1, 2019"	1-Jun-20	1-Jun-20	19-Aug-19		19-Aug-19	"1st Department of Cariology of Medcial University of Warsaw, Warsaw, Mazowieckie, Poland"		https://ClinicalTrials.gov/show/NCT04061434
451	NCT04219228	Zhaoqing Myopia Study		Recruiting	No Results Available	Myopia			Diagnostic Test: Ophthalmic examinations|Device: Wearable devices	"Incident myopia|Prevalence of myopia|Change in axial length|Prevalence of amblyopia, strabismus and other ocular abnormalities|Area under the receiver operating characteristic curve of the deep learning algorithm for the prediction of incident myopia|Sensitivity and specificity of the deep learning algorithm for the prediction of incident myopia|Area under the receiver operating characteristic curve of the deep learning algorithm for the prediction of fast progressing myope|Sensitivity and specificity of the deep learning algorithm for the prediction of fast progressing myope|Area under the receiver operating characteristic curve of the diagnostic algorithm in identifying abnormal vision screening result|Sensitivity and specificity of the diagnostic algorithm in identifying abnormal vision screening result|Post-vision screening referral uptake"	Sun Yat-sen University	All	6 Years to 7 Years   (Child)		4000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2019KYPJ171	"February 2, 2020"	2-Feb-23	2-Feb-23	6-Jan-20		18-Feb-20	"Zhognshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, Guangdong, China|Yingfeng Zheng, Zhaoqing, Guangdong, China"		https://ClinicalTrials.gov/show/NCT04219228
452	NCT04273672	"Speech, Linguistic and Acoustic Markers in Parkinson's Disease"	SLAM-PD	Recruiting	No Results Available	"Parkinson Disease|Cognitive Impairment, Mild|Speech"			"Diagnostic Test: Cognitive Battery|Behavioral: Voice, Speech and Language Analysis|Behavioral: Questionnaires and Clinical Assessments|Genetic: DNA Analysis"	"We will develop a regression model using speech acoustic parameters to classify PD participants by cognitive status (mild cognitive impairment [MCI] vs. normal cognition)|We will measure the difference in number and duration of within-utterance pauses, and pauses before verbs in PD participants with and without mild cognitive impairment|We will measure syntax processing efficiency score (percentage correctly understood sentences/processing time) in controls, and in PD with and without MCI"	"University of Massachusetts, Worcester|Sonde Health, Inc.|Massachusetts Institute of Technology/Lincoln Labs|Boston University|VA Puget Sound Health Care System"	All	"18 Years and older   (Adult, Older Adult)"		150	Other|U.S. Fed	Observational	Observational Model: Cohort|Time Perspective: Cross-Sectional	H00011523	"January 13, 2020"	22-Feb	22-Aug	18-Feb-20		18-Feb-20	"UMass Medical School/UMass Memorial Medical Center, Worcester, Massachusetts, United States"		https://ClinicalTrials.gov/show/NCT04273672
453	NCT04161170	Digital Integrated Healthcare Platform in Patients With Type 2 Diabetes		Recruiting	No Results Available	Type 2 Diabetes			Device: Digital integrated healthcare platform	Change of HbA1c (glycated hemoglobin) at 6months from baseline|HbA1c|number of intervention for education in interventinal group C|hypoglycemic events|adverse events|patient satisfaction questionnaire score|body weight|BMI (body mass index)|body fat (%)|step count|burned calories|walking distances|intake calories|fasting glucose level|total cholesterol level|HDL cholesterol level|Triglycerides level|LDL cholesterol level|mean glucose level by CGMS (continuous glucose monitoring system) in interventional group C|glycemic variability by CGMS in interventional group C|standard deviation by CGMS in interventional group C|average applying time of CGMS in interventional group C|time in range of <54mg/dL by CGMS in interventional group C|time in range of <70mg/dL by CGMS in interventional group C|time in range of 70-180 mg/dL by CGMS in interventional group C|time in range of >180 mg/dL by CGMS in interventional group C|time in range of >250 mg/dL by CGMS in interventional group C	Samsung Medical Center	All	"19 Years to 70 Years   (Adult, Older Adult)"	Not Applicable	294	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2019-05-028-007	"November 20, 2019"	31-Aug-21	31-Dec-21	13-Nov-19		18-Jan-20	"Samsung Medical Center, Seoul, Korea, Republic of"		https://ClinicalTrials.gov/show/NCT04161170
454	NCT03212534	Inpatient Mortality Prediction Algorithm Clinical Trial (IMPACT)	IMPACT	Unknown status	No Results Available	"Decompensation, Heart|Decompensation; Heart, Congestive|Death"			Other: Patient mortality prediction	In-hospital mortality|Hospital length of stay	"Dascena|University of California, San Francisco"	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	1024	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	17-22319	"July 1, 2017"	17-Oct	17-Oct	11-Jul-17		11-Jul-17	"UCSF Moffit-Long Hospital, San Francisco, California, United States"		https://ClinicalTrials.gov/show/NCT03212534
455	NCT04021069	Using Clinicopathomic Markers to Predict Neoadjuvant Chemotherapy Response in Breast Cancer		"Active, not recruiting"	No Results Available	Breast Cancer|Invasive Ductal Breast Carcinoma|Invasive Lobular Breast Carcinoma			"Diagnostic Test: Radiomic, pathomic, and clinical markers"	Pathologic complete response (pCR)|Time to local breast recurrence|Time to distant metastasis (months)|Time to death	Sunnybrook Health Sciences Centre	All	"18 Years and older   (Adult, Older Adult)"		800	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	270-2018	"August 30, 2018"	30-Dec-19	30-Aug-24	16-Jul-19		16-Jul-19	"Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada"		https://ClinicalTrials.gov/show/NCT04021069
456	NCT03921242	Comparative Effectiveness of Metformin for Type 2 Diabetes With Chronic Kidney Disease		Recruiting	No Results Available	"Diabetes Mellitus, Type 2|Renal Insufficiency, Chronic"			Drug: Metformin|Drug: Sulfonylurea|Drug: DPP-4 inhibitor|Drug: SGLT2 inhibitor|Drug: GLP1 receptor agonist	"Incidence of Severe Hypoglycemia Assessed from EMR|Difference in Glycosylated Hemoglobin (HbA1c) level (mmol/mol)|Heterogeneity of Treatment Effect Via Pre-specified Sub-Group Analyses|Incidence of acidosis, hospitalization for hyperglycemia, acute myocardial infarction, stroke, heart failure hospitalization, and heart failure emergency room visits|Difference in Body-Mass Index Assessed From EMR (BMI) (kg/m2)|Difference in Laboratory-Measured eGFR (mL/min)"	Weill Medical College of Cornell University|Patient-Centered Outcomes Research Institute	All	"18 Years and older   (Adult, Older Adult)"		16000	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	1809019555	"August 1, 2019"	1-Mar-21	1-Mar-21	19-Apr-19		26-Sep-19	"University of North Carolina, Chapel Hill, North Carolina, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States"		https://ClinicalTrials.gov/show/NCT03921242
457	NCT00564122	The Accuracy of an Artificially-intelligent Stethoscope		Completed	No Results Available	Heart Murmurs|Congenital Heart Disease|Structural Heart Disease			Device: Artificially-Intelligent Stethoscope|Other: Physical Examination	Sensitivity of the Artificially-Intelligent Stethoscope as compared with that of Pediatric Cardiologists in determining which patients needed echocardiograms because they have congenital structural heart disease|Specificity of the Artificially-Intelligent Stethoscope as compared with that of Pediatric Cardiologists in determining which patients needed echocardiograms because they have congenital structural heart disease.	"Akron Children's Hospital|Thomas C. Dispenza, M.D.|John R. Bockoven, M.D. M.B.A."	All	"Child, Adult, Older Adult"		300	Other	Observational	Observational Model: Case-Crossover|Time Perspective: Prospective	70904	"December 1, 2007"		8-Jun	27-Nov-07		1-Nov-11	"Akron Children's Hospital's Heart Center, Akron, Ohio, United States|Akron Children's Hospital's Heart Center, Beachwood, Ohio, United States|Akron Children's Hospital's Heart Center, Boardman, Ohio, United States"		https://ClinicalTrials.gov/show/NCT00564122
458	NCT04186975	Computerized Antepartum Monitoring Using Non-invasive Fetal Ecg for High Risk Pregnancy		Not yet recruiting	No Results Available	Cardiotocography			Device: Non-Invasive fetal ECG|Device: Fetal heart rate monitor	Identification of abnormal fetal heart rate from NI-FECG|Computerized NI-FECG for the prediction of abnormal FHR traces|Comparison between computerized CTG and NI-FECG|Develop a portable NI-FECG monitor for remote fetal monitoring.	"Rambam Health Care Campus|Technion, Israel Institute of Technology"	Female	18 Years to 50 Years   (Adult)		500	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	0529-19-RMB	"December 1, 2019"	1-Dec-23	1-Dec-23	5-Dec-19		5-Dec-19			https://ClinicalTrials.gov/show/NCT04186975
459	NCT03931083	"Diagnostic Test Accuracy of Mobile Colposcope, HR-HPV Testing, VIA for Detection of Cervical High-grade Squamous Intraepithelial Lesions in Women Living With HIV"		Recruiting	No Results Available	Uterine Cervical Neoplasms|HIV/AIDS			Diagnostic Test: Screening for HSIL	"Test accuracy (sensitivity, specificity) of the Gynocular™ when used as stand-alone tests to detect HSIL|Test accuracy (sensitivity, specificity) of HR-HPV when used as stand-alone tests to detect HSIL|Test accuracy (sensitivity, specificity) of VIA when used as stand-alone tests to detect HSIL|Diagnostic test accuracy of the Gynocular™to detect HSIL: other estimates, stand alone|Diagnostic test accuracy of HR-HPV testing to detect HSIL: other estimates, stand alone|Diagnostic test accuracy of VIA to detect HSIL: other estimates, stand alone|Diagnostic test accuracy of HR-HPV testing followed by Gynocular™ to detect HSIL: test combination|Diagnostic test accuracy of HR-HPV testing followed by Gynocular™ to detect HSIL: test combination - subgroup analyses|Diagnostic test accuracy of the Gynocular™ followed by HR-HPV testing to detect HSIL: test combination|Diagnostic test accuracy of the Gynocular™ followed by HR-HPV testing to detect HSIL: test combination subgroup analyses|Diagnostic test accuracy VIA followed by Gynocular™ to detect HSIL: test combination|Diagnostic test accuracy VIA followed by Gynocular™ to detect HSIL: test combination - subgroup analyses|Diagnostic test accuracy of the Gynocular™ followed by VIA to detect HSIL: test combination|Diagnostic test accuracy of the Gynocular™ followed by VIA to detect HSIL: test combination - subgroup analyses|Diagnostic test accuracy of the HR-HPV followed by VIA to detect HSIL: test combination|Diagnostic test accuracy of the HR-HPV followed by VIA to detect HSIL: test combination - subgroup analyses|Diagnostic test accuracy of the VIA followed by HR-HPV to detect HSIL: test combination|Diagnostic test accuracy of the VIA followed by HR-HPV to detect HSIL: test combination subgroup analyses|Subgroup analyses for the diagnostic test accuracy of Gynocular™: stand alone test|Subgroup analyses for the diagnostic test accuracy of VIA: stand alone test|Subgroup analyses for the diagnostic test accuracy of HR-HPV testing: stand alone test|Subgroup analyses for the diagnostic test accuracy of VIA, HR-HPV testing and Gynocular™: Combined tests|Investigation of Swede Score in WLHIV|Characterizing co-infections of premalignant and malignant disease (STIs/HR-HPV)|Investigations to inform telemedicine capacity: Comparison of image quality|Investigations to inform telemedicine capacity: use of static images|Investigations to inform telemedicine capacity: ROC curve for Swede score|Investigations to inform telemedicine capacity: Live versus static assessors|Artificial Intelligence (AI) for improving the detection of precancerous cervical lesions: testing AI algorithm|Artificial Intelligence for improving the detection of precancerous cervical lesions: improve AI algorithm"	University of Bern|Centre for Infectious Disease Research in Zambia|Cervical Cancer Prevention Program in Zambia|International Agency for Research on Cancer	Female	"18 Years to 65 Years   (Adult, Older Adult)"		450	Other	Observational	Observational Model: Other|Time Perspective: Prospective	GYNOCULAR|KFS-4156-02-2017|Esther17G9	"May 8, 2019"	1-Aug-20	1-May-21	30-Apr-19		14-May-19	"Centre for Infectious Disease Research in Zambia, Lusaka, Zambia"		https://ClinicalTrials.gov/show/NCT03931083
